Timestamp,ADC,Volt,Status,Time
52775,22274,0.6961,THA LONG,19:52:04.038
52876,22248,0.6953,THA LONG,19:52:04.147
52977,22248,0.6953,THA LONG,19:52:04.241
53078,22242,0.6951,THA LONG,19:52:04.350
53179,22232,0.6947,THA LONG,19:52:04.444
53280,22232,0.6947,THA LONG,19:52:04.555
53381,22222,0.6944,THA LONG,19:52:04.649
53482,22223,0.6945,THA LONG,19:52:04.760
53583,22217,0.6943,THA LONG,19:52:04.856
53684,22212,0.6941,THA LONG,19:52:04.949
53785,22210,0.6941,THA LONG,19:52:05.062
53886,22206,0.6939,THA LONG,19:52:05.155
53987,22204,0.6939,THA LONG,19:52:05.265
54088,22196,0.6936,THA LONG,19:52:05.360
54189,22193,0.6935,THA LONG,19:52:05.455
54290,22193,0.6935,THA LONG,19:52:05.566
54391,22189,0.6934,THA LONG,19:52:05.661
54492,22189,0.6934,THA LONG,19:52:05.755
54593,22187,0.6933,THA LONG,19:52:05.866
54694,22175,0.6930,THA LONG,19:52:05.963
54795,22176,0.6930,THA LONG,19:52:06.071
54896,22172,0.6929,THA LONG,19:52:06.166
54997,22166,0.6927,THA LONG,19:52:06.274
55098,22163,0.6926,THA LONG,19:52:06.368
55199,22158,0.6924,THA LONG,19:52:06.461
55300,22158,0.6924,THA LONG,19:52:06.571
55401,22153,0.6923,THA LONG,19:52:06.663
55502,22150,0.6922,THA LONG,19:52:06.774
55603,22149,0.6922,THA LONG,19:52:06.869
55704,22143,0.6920,THA LONG,19:52:06.980
55805,22143,0.6920,THA LONG,19:52:07.072
55906,22139,0.6918,THA LONG,19:52:07.182
56007,22138,0.6918,THA LONG,19:52:07.277
56108,22139,0.6918,THA LONG,19:52:07.370
56209,22135,0.6917,THA LONG,19:52:07.480
56310,22131,0.6916,THA LONG,19:52:07.572
56411,22126,0.6914,THA LONG,19:52:07.682
56512,22128,0.6915,THA LONG,19:52:07.777
56613,22122,0.6913,THA LONG,19:52:07.887
56714,22116,0.6911,THA LONG,19:52:07.982
56815,22106,0.6908,THA LONG,19:52:08.092
56916,22109,0.6909,THA LONG,19:52:08.187
57017,22106,0.6908,THA LONG,19:52:08.282
57118,22099,0.6906,THA LONG,19:52:08.390
57219,22095,0.6905,THA LONG,19:52:08.486
57320,22092,0.6904,THA LONG,19:52:08.596
57421,22087,0.6902,THA LONG,19:52:08.690
57522,22084,0.6901,THA LONG,19:52:08.800
57623,22078,0.6899,THA LONG,19:52:08.894
57724,22073,0.6898,THA LONG,19:52:08.991
57825,22022,0.6882,THA LONG,19:52:09.099
57926,21482,0.6713,THA LONG,19:52:09.193
58027,22016,0.6880,THA LONG,19:52:09.303
58128,21864,0.6833,THA LONG,19:52:09.397
58229,21230,0.6634,THA LONG,19:52:09.492
58330,20979,0.6556,THA LONG,19:52:09.602
58431,20628,0.6446,THA LONG,19:52:09.696
58532,20295,0.6342,THA LONG,19:52:09.808
58633,20149,0.6297,THA LONG,19:52:09.902
58734,19986,0.6246,THA LONG,19:52:10.009
58835,19865,0.6208,THA LONG,19:52:10.103
58936,19704,0.6158,THA LONG,19:52:10.198
59037,19623,0.6132,THA LONG,19:52:10.309
59138,19664,0.6145,THA LONG,19:52:10.403
59239,19439,0.6075,THA LONG,19:52:10.513
59340,19392,0.6060,THA LONG,19:52:10.609
59441,19260,0.6019,THA LONG,19:52:10.705
59542,19268,0.6021,THA LONG,19:52:10.817
59643,19212,0.6004,THA LONG,19:52:10.909
59744,19183,0.5995,DA AN,19:52:11.021
59845,19123,0.5976,DA AN,19:52:11.116
59946,18881,0.5900,DA AN,19:52:11.210
60047,18500,0.5781,DA AN,19:52:11.322
60148,18256,0.5705,DA AN,19:52:11.414
60249,17894,0.5592,DA AN,19:52:11.525
60350,17807,0.5565,DA AN,19:52:11.621
60451,17725,0.5539,DA AN,19:52:11.715
60552,17559,0.5487,DA AN,19:52:11.826
60653,17307,0.5408,DA AN,19:52:11.921
60754,16932,0.5291,DA AN,19:52:12.031
60855,16798,0.5249,DA AN,19:52:12.126
60956,18615,0.5817,DA AN,19:52:12.221
61057,22050,0.6891,THA LONG,19:52:12.331
61158,22758,0.7112,THA LONG,19:52:12.427
61259,22854,0.7142,THA LONG,19:52:12.521
61360,22742,0.7107,THA LONG,19:52:12.627
61461,22594,0.7061,THA LONG,19:52:12.739
61562,22515,0.7036,THA LONG,19:52:12.831
61663,22460,0.7019,THA LONG,19:52:12.926
61764,22413,0.7004,THA LONG,19:52:13.036
61865,22362,0.6988,THA LONG,19:52:13.130
61966,22333,0.6979,THA LONG,19:52:13.239
62067,22318,0.6974,THA LONG,19:52:13.334
62168,22296,0.6967,THA LONG,19:52:13.445
62269,22262,0.6957,THA LONG,19:52:13.537
62370,22234,0.6948,THA LONG,19:52:13.632
62471,22210,0.6941,THA LONG,19:52:13.744
62572,22192,0.6935,THA LONG,19:52:13.837
62673,22176,0.6930,THA LONG,19:52:13.948
62774,22156,0.6924,THA LONG,19:52:14.043
62875,22139,0.6918,THA LONG,19:52:14.150
62976,22125,0.6914,THA LONG,19:52:14.245
63077,22109,0.6909,THA LONG,19:52:14.354
63178,22090,0.6903,THA LONG,19:52:14.449
63279,22064,0.6895,THA LONG,19:52:14.543
63380,22047,0.6890,THA LONG,19:52:14.654
63481,22033,0.6885,THA LONG,19:52:14.746
63582,22025,0.6883,THA LONG,19:52:14.855
63683,22015,0.6880,THA LONG,19:52:14.949
63784,22001,0.6875,THA LONG,19:52:15.056
63885,21998,0.6874,THA LONG,19:52:15.149
63986,21991,0.6872,THA LONG,19:52:15.258
64087,21986,0.6871,THA LONG,19:52:15.352
64188,21968,0.6865,THA LONG,19:52:15.463
64289,21962,0.6863,THA LONG,19:52:15.555
64390,21953,0.6860,THA LONG,19:52:15.665
64491,21949,0.6859,THA LONG,19:52:15.759
64592,21943,0.6857,THA LONG,19:52:15.870
64693,21940,0.6856,THA LONG,19:52:15.963
64794,21934,0.6854,THA LONG,19:52:16.057
64895,21933,0.6854,THA LONG,19:52:16.167
64996,21927,0.6852,THA LONG,19:52:16.262
65097,21922,0.6851,THA LONG,19:52:16.371
65198,21919,0.6850,THA LONG,19:52:16.466
65299,21916,0.6849,THA LONG,19:52:16.576
65400,21915,0.6848,THA LONG,19:52:16.669
65501,21909,0.6847,THA LONG,19:52:16.764
65602,21913,0.6848,THA LONG,19:52:16.873
65703,21908,0.6846,THA LONG,19:52:16.967
65804,21906,0.6846,THA LONG,19:52:17.078
65905,21901,0.6844,THA LONG,19:52:17.172
66006,21898,0.6843,THA LONG,19:52:17.283
66107,21896,0.6843,THA LONG,19:52:17.376
66208,21897,0.6843,THA LONG,19:52:17.472
66309,21895,0.6842,THA LONG,19:52:17.582
66410,21892,0.6841,THA LONG,19:52:17.676
66511,21896,0.6843,THA LONG,19:52:17.787
66612,21891,0.6841,THA LONG,19:52:17.883
66713,21890,0.6841,THA LONG,19:52:17.976
66814,21888,0.6840,THA LONG,19:52:18.085
66915,21886,0.6839,THA LONG,19:52:18.179
67016,21885,0.6839,THA LONG,19:52:18.290
67117,21883,0.6838,THA LONG,19:52:18.384
67218,21882,0.6838,THA LONG,19:52:18.493
67319,21883,0.6838,THA LONG,19:52:18.588
67420,21878,0.6837,THA LONG,19:52:18.683
67521,21875,0.6836,THA LONG,19:52:18.792
67622,21872,0.6835,THA LONG,19:52:18.886
67723,21872,0.6835,THA LONG,19:52:18.996
67824,21867,0.6833,THA LONG,19:52:19.090
67925,21870,0.6834,THA LONG,19:52:19.201
68026,21861,0.6832,THA LONG,19:52:19.296
68127,21859,0.6831,THA LONG,19:52:19.405
68228,21861,0.6832,THA LONG,19:52:19.500
68329,21850,0.6828,THA LONG,19:52:19.596
68430,21847,0.6827,THA LONG,19:52:19.708
68531,21847,0.6827,THA LONG,19:52:19.803
68632,21842,0.6826,THA LONG,19:52:19.896
68733,21842,0.6826,THA LONG,19:52:20.006
68834,21841,0.6825,THA LONG,19:52:20.102
68935,21839,0.6825,THA LONG,19:52:20.213
69036,21836,0.6824,THA LONG,19:52:20.308
69137,21831,0.6822,THA LONG,19:52:20.401
69238,21833,0.6823,THA LONG,19:52:20.512
69339,21830,0.6822,THA LONG,19:52:20.605
69440,21826,0.6821,THA LONG,19:52:20.715
69541,21826,0.6821,THA LONG,19:52:20.809
69642,21826,0.6821,THA LONG,19:52:20.920
69743,21823,0.6820,THA LONG,19:52:21.012
69844,21825,0.6820,THA LONG,19:52:21.106
69945,21823,0.6820,THA LONG,19:52:21.218
70046,21823,0.6820,THA LONG,19:52:21.311
70147,21821,0.6819,THA LONG,19:52:21.422
70248,21819,0.6818,THA LONG,19:52:21.516
70349,21818,0.6818,THA LONG,19:52:21.628
70450,21817,0.6818,THA LONG,19:52:21.720
70551,21814,0.6817,THA LONG,19:52:21.814
70652,21814,0.6817,THA LONG,19:52:21.925
70753,21811,0.6816,THA LONG,19:52:22.018
70854,21812,0.6816,THA LONG,19:52:22.128
70955,21811,0.6816,THA LONG,19:52:22.222
71056,21806,0.6814,THA LONG,19:52:22.331
71157,21806,0.6814,THA LONG,19:52:22.426
71258,21806,0.6814,THA LONG,19:52:22.536
71359,21803,0.6813,THA LONG,19:52:22.632
71460,21803,0.6813,THA LONG,19:52:22.725
71561,21801,0.6813,THA LONG,19:52:22.834
71662,21800,0.6813,THA LONG,19:52:22.930
71763,21808,0.6815,THA LONG,19:52:23.041
71864,21801,0.6813,THA LONG,19:52:23.136
71965,21802,0.6813,THA LONG,19:52:23.230
72066,21798,0.6812,THA LONG,19:52:23.339
72167,21795,0.6811,THA LONG,19:52:23.433
72268,21793,0.6810,THA LONG,19:52:23.543
72369,21791,0.6810,THA LONG,19:52:23.638
72470,21788,0.6809,THA LONG,19:52:23.747
72571,21786,0.6808,THA LONG,19:52:23.840
72672,21783,0.6807,THA LONG,19:52:23.951
72773,21781,0.6807,THA LONG,19:52:24.044
72874,21782,0.6807,THA LONG,19:52:24.140
72975,21779,0.6806,THA LONG,19:52:24.249
73076,21780,0.6806,THA LONG,19:52:24.343
73177,21781,0.6807,THA LONG,19:52:24.453
73278,21779,0.6806,THA LONG,19:52:24.546
73379,21779,0.6806,THA LONG,19:52:24.657
73480,21779,0.6806,THA LONG,19:52:24.752
73581,21777,0.6805,THA LONG,19:52:24.848
73682,21778,0.6806,THA LONG,19:52:24.957
73783,21776,0.6805,THA LONG,19:52:25.051
73884,21775,0.6805,THA LONG,19:52:25.147
73985,21794,0.6811,THA LONG,19:52:25.255
74086,21776,0.6805,THA LONG,19:52:25.350
74187,21782,0.6807,THA LONG,19:52:25.458
74288,21788,0.6809,THA LONG,19:52:25.553
74389,21791,0.6810,THA LONG,19:52:25.663
74490,21781,0.6807,THA LONG,19:52:25.756
74591,21782,0.6807,THA LONG,19:52:25.865
74692,21782,0.6807,THA LONG,19:52:25.960
74793,21779,0.6806,THA LONG,19:52:26.070
74894,21779,0.6806,THA LONG,19:52:26.164
74995,21779,0.6806,THA LONG,19:52:26.258
75096,21776,0.6805,THA LONG,19:52:26.368
75197,21774,0.6804,THA LONG,19:52:26.462
75298,21771,0.6803,THA LONG,19:52:26.572
75399,21769,0.6803,THA LONG,19:52:26.668
75500,21769,0.6803,THA LONG,19:52:26.779
75601,21769,0.6803,THA LONG,19:52:26.871
75702,21769,0.6803,THA LONG,19:52:26.965
75803,21768,0.6803,THA LONG,19:52:27.076
75904,21769,0.6803,THA LONG,19:52:27.170
76005,21771,0.6803,THA LONG,19:52:27.282
76106,21770,0.6803,THA LONG,19:52:27.376
76207,21771,0.6803,THA LONG,19:52:27.472
76308,21773,0.6804,THA LONG,19:52:27.582
76409,21770,0.6803,THA LONG,19:52:27.678
76510,21772,0.6804,THA LONG,19:52:27.789
76611,21771,0.6803,THA LONG,19:52:27.882
76712,21773,0.6804,THA LONG,19:52:27.976
76813,21771,0.6803,THA LONG,19:52:28.086
76914,21773,0.6804,THA LONG,19:52:28.180
77015,21769,0.6803,THA LONG,19:52:28.291
77116,21765,0.6802,THA LONG,19:52:28.385
77217,21767,0.6802,THA LONG,19:52:28.493
77318,21766,0.6802,THA LONG,19:52:28.588
77419,21765,0.6802,THA LONG,19:52:28.696
77520,21766,0.6802,THA LONG,19:52:28.789
77621,21766,0.6802,THA LONG,19:52:28.899
77722,21766,0.6802,THA LONG,19:52:28.993
77823,21760,0.6800,THA LONG,19:52:29.088
77924,21759,0.6800,THA LONG,19:52:29.199
78025,21761,0.6800,THA LONG,19:52:29.294
78126,21760,0.6800,THA LONG,19:52:29.405
78227,21761,0.6800,THA LONG,19:52:29.500
78328,21758,0.6799,THA LONG,19:52:29.594
78429,21758,0.6799,THA LONG,19:52:29.703
78530,21760,0.6800,THA LONG,19:52:29.799
78631,21757,0.6799,THA LONG,19:52:29.908
78732,21755,0.6798,THA LONG,19:52:30.001
78833,21758,0.6799,THA LONG,19:52:30.111
78934,21755,0.6798,THA LONG,19:52:30.206
79035,21759,0.6800,THA LONG,19:52:30.301
79136,21761,0.6800,THA LONG,19:52:30.409
79237,21753,0.6798,THA LONG,19:52:30.504
79338,21754,0.6798,THA LONG,19:52:30.615
79439,21755,0.6798,THA LONG,19:52:30.709
79540,21753,0.6798,THA LONG,19:52:30.819
79641,21754,0.6798,THA LONG,19:52:30.913
79742,21752,0.6797,THA LONG,19:52:31.008
79843,21753,0.6798,THA LONG,19:52:31.121
79944,21750,0.6797,THA LONG,19:52:31.213
80045,21750,0.6797,THA LONG,19:52:31.324
80146,21751,0.6797,THA LONG,19:52:31.419
80247,21753,0.6798,THA LONG,19:52:31.514
80348,21754,0.6798,THA LONG,19:52:31.623
80449,21757,0.6799,THA LONG,19:52:31.717
80550,21752,0.6797,THA LONG,19:52:31.828
80651,21754,0.6798,THA LONG,19:52:31.922
80752,21751,0.6797,THA LONG,19:52:32.031
80853,21748,0.6796,THA LONG,19:52:32.124
80954,21747,0.6796,THA LONG,19:52:32.217
81055,21748,0.6796,THA LONG,19:52:32.326
81156,21752,0.6797,THA LONG,19:52:32.419
81257,21756,0.6799,THA LONG,19:52:32.532
81358,21755,0.6798,THA LONG,19:52:32.625
81459,21754,0.6798,THA LONG,19:52:32.734
81560,21753,0.6798,THA LONG,19:52:32.828
81661,21753,0.6798,THA LONG,19:52:32.939
81762,21751,0.6797,THA LONG,19:52:33.031
81863,21686,0.6777,THA LONG,19:52:33.140
81964,21573,0.6742,THA LONG,19:52:33.234
82065,21258,0.6643,THA LONG,19:52:33.329
82166,21364,0.6676,THA LONG,19:52:33.438
82267,20983,0.6557,THA LONG,19:52:33.532
82368,20474,0.6398,THA LONG,19:52:33.641
82469,19786,0.6183,THA LONG,19:52:33.735
82570,19316,0.6036,THA LONG,19:52:33.846
82671,18407,0.5752,DA AN,19:52:33.942
82772,18475,0.5773,DA AN,19:52:34.037
82873,19112,0.5973,DA AN,19:52:34.147
82974,19050,0.5953,DA AN,19:52:34.245
83075,19081,0.5963,DA AN,19:52:34.338
83176,19123,0.5976,DA AN,19:52:34.448
83277,18856,0.5893,DA AN,19:52:34.542
83378,18861,0.5894,DA AN,19:52:34.652
83479,18806,0.5877,DA AN,19:52:34.746
83580,18799,0.5875,DA AN,19:52:34.854
83681,18753,0.5860,DA AN,19:52:34.950
83782,18731,0.5853,DA AN,19:52:35.045
83883,18974,0.5929,DA AN,19:52:35.158
83984,19013,0.5942,DA AN,19:52:35.252
84085,19117,0.5974,DA AN,19:52:35.361
84186,19034,0.5948,DA AN,19:52:35.454
84287,19165,0.5989,DA AN,19:52:35.564
84388,19571,0.6116,THA LONG,19:52:35.659
84489,19630,0.6134,THA LONG,19:52:35.752
84590,19502,0.6094,THA LONG,19:52:35.864
84691,19274,0.6023,THA LONG,19:52:35.959
84792,19383,0.6057,THA LONG,19:52:36.071
84893,19487,0.6090,THA LONG,19:52:36.164
84994,19400,0.6063,THA LONG,19:52:36.257
85095,19285,0.6027,THA LONG,19:52:36.369
85196,19401,0.6063,THA LONG,19:52:36.464
85297,19526,0.6102,THA LONG,19:52:36.574
85398,19613,0.6129,THA LONG,19:52:36.669
85499,19587,0.6121,THA LONG,19:52:36.778
85600,19486,0.6089,THA LONG,19:52:36.872
85701,19423,0.6070,THA LONG,19:52:36.965
85802,19488,0.6090,THA LONG,19:52:37.076
85903,19474,0.6086,THA LONG,19:52:37.168
86004,19490,0.6091,THA LONG,19:52:37.277
86105,19570,0.6116,THA LONG,19:52:37.371
86206,19511,0.6097,THA LONG,19:52:37.481
86307,19505,0.6095,THA LONG,19:52:37.575
86408,19581,0.6119,THA LONG,19:52:37.685
86509,20170,0.6303,THA LONG,19:52:37.778
86610,21520,0.6725,THA LONG,19:52:37.887
86711,21791,0.6810,THA LONG,19:52:37.982
86812,21977,0.6868,THA LONG,19:52:38.090
86913,22199,0.6937,THA LONG,19:52:38.185
87014,22269,0.6959,THA LONG,19:52:38.278
87115,22288,0.6965,THA LONG,19:52:38.390
87216,22272,0.6960,THA LONG,19:52:38.482
87317,22267,0.6958,THA LONG,19:52:38.591
87418,22253,0.6954,THA LONG,19:52:38.684
87519,22233,0.6948,THA LONG,19:52:38.792
87620,22217,0.6943,THA LONG,19:52:38.887
87721,22207,0.6940,THA LONG,19:52:38.998
87822,22202,0.6938,THA LONG,19:52:39.092
87923,22191,0.6935,THA LONG,19:52:39.202
88024,22183,0.6932,THA LONG,19:52:39.295
88125,22177,0.6930,THA LONG,19:52:39.390
88226,22176,0.6930,THA LONG,19:52:39.498
88327,22173,0.6929,THA LONG,19:52:39.595
88428,22170,0.6928,THA LONG,19:52:39.706
88529,22165,0.6927,THA LONG,19:52:39.798
88630,22166,0.6927,THA LONG,19:52:39.894
88731,22164,0.6926,THA LONG,19:52:40.005
88832,22162,0.6926,THA LONG,19:52:40.098
88933,22161,0.6925,THA LONG,19:52:40.211
89034,22161,0.6925,THA LONG,19:52:40.304
89135,22158,0.6924,THA LONG,19:52:40.414
89236,22156,0.6924,THA LONG,19:52:40.508
89337,22155,0.6923,THA LONG,19:52:40.603
89438,22157,0.6924,THA LONG,19:52:40.715
89539,22158,0.6924,THA LONG,19:52:40.807
89640,22159,0.6925,THA LONG,19:52:40.918
89741,22165,0.6927,THA LONG,19:52:41.012
89842,22168,0.6927,THA LONG,19:52:41.105
89943,22173,0.6929,THA LONG,19:52:41.215
90044,22083,0.6901,THA LONG,19:52:41.310
90145,22157,0.6924,THA LONG,19:52:41.419
90246,22175,0.6930,THA LONG,19:52:41.515
90347,22168,0.6927,THA LONG,19:52:41.623
90448,22164,0.6926,THA LONG,19:52:41.718
90549,22162,0.6926,THA LONG,19:52:41.827
90650,22158,0.6924,THA LONG,19:52:41.920
90751,22154,0.6923,THA LONG,19:52:42.014
90852,22155,0.6923,THA LONG,19:52:42.125
90953,22158,0.6924,THA LONG,19:52:42.220
91054,22158,0.6924,THA LONG,19:52:42.328
91155,22154,0.6923,THA LONG,19:52:42.423
91256,22155,0.6923,THA LONG,19:52:42.533
91357,22150,0.6922,THA LONG,19:52:42.629
91458,22152,0.6923,THA LONG,19:52:42.723
91559,22151,0.6922,THA LONG,19:52:42.833
91660,22150,0.6922,THA LONG,19:52:42.927
91761,22148,0.6921,THA LONG,19:52:43.038
91862,22141,0.6919,THA LONG,19:52:43.130
91963,22142,0.6919,THA LONG,19:52:43.238
92064,22141,0.6919,THA LONG,19:52:43.333
92165,22139,0.6918,THA LONG,19:52:43.444
